PM2 配抄計算表,,,,,,,
機台總寬限制,10.77 ~ 10.82 台尺,,,,,,
,,,,,,,
【訂單資訊】,,,,,,,
尺寸(mm),台尺換算,需求粒數,,,,,
889,=A6/302.5,80,,,,,
,,,,,,,
【配抄方案】,,,,,,,
刀號,尺寸(mm),台尺,說明,,,,
刀1,889,=B10/302.5,訂單,,,,
刀2,889,=B11/302.5,訂單,,,,
刀3,889,=B12/302.5,訂單,,,,
刀4（填入）,,,請填入591~606mm之間,,,,
合計台尺,,=C10+C11+C12+C14,需介於10.77~10.82,,,,
,,,,,,,
【是否合規】,,"=IF(AND(C14>=10.77,C14<=10.82),""✅ 合規"",""❌ 超出範圍"")",,,,,
,,,,,,,
【紙管需求】,,,,,,,
支捲筒數,"=CEILING(C6/3,1)",,（80粒÷3刀，無條件進位）,,,,
889mm 紙管,=B20*3,,支,,,,
刀4 紙管,=B20*1,,支,,,,
紙管總計,=B21+B22,,支,,,,
,,,,,,,
備註：第27支多產1粒889mm，可作備品或調配庫存,,,,,,,
